Flickr8k	EfficientNetB0 + LSTM + Att	EfficientNetB2 + LSTM + Att	EfficientNetB3 + LSTM + Att	EfficientNetB4 + LSTM + Att	ResNet50 + LSTM + Att
BLEU-1 (nltk)	0.5024	0.5061	0.5243	0.4985	0.5004
BLEU-2 (nltk)	0.3366	0.3404	0.3540	0.3303	0.3329
BLEU-3 (nltk)	0.2203	0.2273	0.2363	0.2187	0.2198
BLEU-4 (nltk)	0.1362	0.1453	0.1507	0.1361	0.1368
BLEU-1 (linear)	0.4991	0.5039	0.5215	0.4957	0.4983
BLEU-2 (linear)	0.3344	0.3389	0.3521	0.3284	0.3316
BLEU-3 (linear)	0.2188	0.2264	0.2350	0.2175	0.2189
BLEU-4 (linear)	0.1354	0.1447	0.1499	0.1354	0.1362
METEOR	0.2912	0.2949	0.3065	0.2880	0.2824
Avg Pred Len	8.0000	7.9512	8.0846	7.8450	7.9141
Avg Ref Len (Beam = 3)	7.9432	7.9605	7.9339	7.9043	7.9240
Len ratio	1.0072	0.9988	1.0190	0.9925	0.9988
					
Flickr8k	EfficientNetB0 + Transformer Simple	EfficientNetB2 + Transformer Simple	EfficientNetB3 + Transformer Simple	EfficientNetB4 + Transformer Simple	ResNet50 + Transformer Simple
BLEU-1 (nltk)	0.4816	0.4889	0.4847	0.4838	0.4807
BLEU-2 (nltk)	0.3184	0.3308	0.3283	0.3246	0.3307
BLEU-3 (nltk)	0.2110	0.2204	0.2207	0.2171	0.2207
BLEU-4 (nltk)	0.1332	0.1388	0.1405	0.1372	0.1392
BLEU-1 (linear)	0.4804	0.4887	0.4862	0.4838	0.4833
BLEU-2 (linear)	0.3176	0.3307	0.3294	0.3246	0.3325
BLEU-3 (linear)	0.2105	0.2203	0.2214	0.2171	0.2220
BLEU-4 (linear)	0.1330	0.1388	0.1411	0.1373	0.1401
METEOR	0.2832	0.2889	0.2916	0.2880	0.2904
Avg Pred Len	7.6825	7.4620	7.5034	7.4132	7.1494
Avg Ref Len (Beam = 3)	7.8672	7.8931	8.0229	7.8703	7.9284
Len ratio	0.9765	0.9454	0.9353	0.9419	0.9017
					
Flickr8k	EfficientNetB0 + LSTM	EfficientNetB2 + LSTM	EfficientNetB3 + LSTM	EfficientNetB4 + LSTM	ResNet50 + LSTM
BLEU-1 (nltk)					
BLEU-2 (nltk)					
BLEU-3 (nltk)					
BLEU-4 (nltk)					
BLEU-1 (linear)					
